syndra_id,id_type,id_value,source,license
SYN0000276,BRD,BRD-K14821540,lincs_2020,custom_non_commercial
SYN0000277,BRD,BRD-A81615860,lincs_2020,custom_non_commercial
SYN0000278,BRD,BRD-A56470328,lincs_2020,custom_non_commercial
SYN0000279,BRD,BRD-K00824317,lincs_2020,custom_non_commercial
SYN0000280,BRD,BRD-A49765801,lincs_2020,custom_non_commercial
SYN0000281,BRD,BRD-A50064262,lincs_2020,custom_non_commercial
SYN0000282,BRD,BRD-K97447442,lincs_2020,custom_non_commercial
SYN0000283,BRD,BRD-K13027675,lincs_2020,custom_non_commercial
SYN0000284,BRD,BRD-A13133631,lincs_2020,custom_non_commercial
SYN0000285,BRD,BRD-K24255045,lincs_2020,custom_non_commercial
SYN0000286,BRD,BRD-A21490874,lincs_2020,custom_non_commercial
SYN0000287,BRD,BRD-A86044036,lincs_2020,custom_non_commercial
SYN0000288,BRD,BRD-K13005598,lincs_2020,custom_non_commercial
SYN0000289,BRD,BRD-K04877770,lincs_2020,custom_non_commercial
SYN0000290,BRD,BRD-K77245796,lincs_2020,custom_non_commercial
SYN0000291,BRD,BRD-K18059238,lincs_2020,custom_non_commercial
SYN0000292,BRD,BRD-A14999564,lincs_2020,custom_non_commercial
SYN0000293,BRD,BRD-K68144790,lincs_2020,custom_non_commercial
SYN0000294,BRD,BRD-A73859745,lincs_2020,custom_non_commercial
SYN0000295,BRD,BRD-K06692906,lincs_2020,custom_non_commercial
SYN0000296,BRD,BRD-K09991945,lincs_2020,custom_non_commercial
SYN0000297,BRD,BRD-K04923131,lincs_2020,custom_non_commercial
SYN0000298,BRD,BRD-A39646320,lincs_2020,custom_non_commercial
SYN0000299,BRD,BRD-K85133207,lincs_2020,custom_non_commercial
SYN0000300,BRD,BRD-A21329147,lincs_2020,custom_non_commercial
SYN0000301,BRD,BRD-K76674262,lincs_2020,custom_non_commercial
SYN0000302,BRD,BRD-A24643465,lincs_2020,custom_non_commercial
SYN0000303,BRD,BRD-A66435872,lincs_2020,custom_non_commercial
SYN0000304,BRD,BRD-K02715688,lincs_2020,custom_non_commercial
SYN0000305,BRD,BRD-K35307346,lincs_2020,custom_non_commercial
SYN0000306,BRD,BRD-A36707673,lincs_2020,custom_non_commercial
SYN0000307,BRD,BRD-A98299281,lincs_2020,custom_non_commercial
SYN0000308,BRD,BRD-K14965640,lincs_2020,custom_non_commercial
SYN0000309,BRD,BRD-K76630978,lincs_2020,custom_non_commercial
SYN0000310,BRD,BRD-K62627508,lincs_2020,custom_non_commercial
SYN0000311,BRD,BRD-K37194137,lincs_2020,custom_non_commercial
SYN0000312,BRD,BRD-K26373640,lincs_2020,custom_non_commercial
SYN0000313,BRD,BRD-K74305673,lincs_2020,custom_non_commercial
SYN0000314,BRD,BRD-K93023739,lincs_2020,custom_non_commercial
SYN0000315,BRD,BRD-K51781482,lincs_2020,custom_non_commercial
SYN0000316,BRD,BRD-K19136521,lincs_2020,custom_non_commercial
SYN0000317,BRD,BRD-K01815685,lincs_2020,custom_non_commercial
SYN0000318,BRD,BRD-K98251413,lincs_2020,custom_non_commercial
SYN0000319,BRD,BRD-K51247865,lincs_2020,custom_non_commercial
SYN0000320,BRD,BRD-K43571060,lincs_2020,custom_non_commercial
SYN0000321,BRD,BRD-K33583600,lincs_2020,custom_non_commercial
SYN0000322,BRD,BRD-K82225283,lincs_2020,custom_non_commercial
SYN0000323,BRD,BRD-K76097666,lincs_2020,custom_non_commercial
